month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202201,28900,"klamath falls, or",480,359900,-0.0024,0.0775,114,-0.1364,0.0364,91,0.1375,0.1519,68,0.3077,-0.1053,4,,-0.5,20,0,0,133,-0.2036,-0.1074,202,0.0209,0.1384,1632,0.0197,-0.0933,790569,0.0862,0.7686,247,-0.1767,-0.0237,1.1667,-0.0985,-0.1879,0
202201,43060,"shawnee, ok",481,212115,-0.0347,0.0398,99,-0.2878,0.4143,72,0.1429,0.0588,52,0,0.0833,0,-1,,36,0.2857,0.8,112,0.0566,0.1429,120,-0.0035,0.1534,1713,-0.0483,-0.1503,285071,-0.0683,-9.00E-04,228,-0.0656,0.3179,1.1313,0.3687,-0.2687,1
202201,18300,"coos bay, or",482,399000,0.0726,0.2871,80,-0.2,-0.1304,78,0.0759,0,60,0.3636,0.3636,20,0,-0.1667,44,-0.2143,0,141,-0.1455,0.119,223,-0.0082,0.0993,1710,-0.0026,-0.007,604866,0.0347,0.3371,223,-0.1617,0.0045,1.7625,0.1125,0.3929,0
202201,22580,"forest city, nc",483,299000,-0.0583,0.0528,114,-0.1739,-0.1493,56,-0.0345,-0.2,76,-0.2083,0.1176,0,-1,-1,20,-0.1667,-0.2857,108,-0.2059,-0.2603,184,0.0627,0.2657,1507,-0.1507,-0.0922,429518,-0.0175,0.0771,220,-0.2029,-0.2388,0.9474,-0.0381,-0.1422,0
202201,37020,"owosso, mi",484,169000,-0.0763,-0.1101,73,-0.1412,-0.2551,60,0.0909,0.0714,48,0.0909,-0.0769,4,0,,16,-0.2,-0.3333,75,-0.2105,-0.2105,117,-0.0208,0.0886,1600,-9.00E-04,-0.1146,225633,0.0043,0.1138,146,-0.1844,-0.2589,1.0274,-0.0902,0.058,1
202201,39980,"richmond, in",485,99900,-0.0698,0.11,89,-0.0632,-0.4702,45,0.1111,-0.3571,48,-0.25,-0.1429,0,,,16,0,-0.4286,88,-0.1287,-0.102,84,0.0149,0.2714,1466,0.0486,-0.0505,143812,0.0139,-0.0074,178,-0.0964,-0.3074,0.9888,-0.0744,0.4054,0
202201,31980,"marion, in",486,84900,-0.0556,-0.0012,62,-0.1622,-0.5,53,0.325,-0.3977,36,-0.1818,0,0,,,20,0,-0.1667,35,-0.2857,-0.2857,63,-0.0179,-0.0069,1429,-0.0189,-0.0473,108259,-0.1114,-0.059,97,-0.2177,-0.4457,0.5645,-0.0976,0.1694,0
202201,34780,"muskogee, ok",487,114000,-0.0492,-0.2138,77,-0.163,-0.0941,66,0.1186,-0.0149,48,-0.0769,0,0,,,20,0.6667,-0.1667,77,-0.172,-0.0941,86,-0.0432,0.023,1369,0.0044,-0.188,173518,0.0618,-0.0555,153,-0.173,-0.1,1,-0.0109,0,1
202201,30300,"lewiston, id-wa",488,418000,0.0871,0.3938,57,-0.1972,0.425,76,0.2258,0.2258,40,-0.1667,-0.2857,0,,,12,-0.4,0.5,77,-0.2062,-0.1895,203,0.0226,0.3224,2036,-0.002,0.0059,640192,0.0538,0.3524,136,-0.2047,0,1.3509,-0.0153,-1.0241,1
202201,17340,"clearlake, ca",489,395000,-0.0111,0.1318,259,-0.1804,0.1021,82,0.0649,0.2059,96,0.0909,-0.25,0,-1,-1,52,-0.0714,0.3,149,-0.1131,-0.2398,246,-0.0074,0.1198,1540,-0.0163,-0.0179,633765,-0.0593,-0.0525,410,-0.1458,-0.0509,0.5753,0.0436,-0.2588,1
202201,12660,"baraboo, wi",490,250000,2.00E-04,0.0874,70,-0.2135,-0.3519,64,0.113,-0.1795,44,-0.0833,0.1,0,,-1,16,1,0,72,-0.191,-0.1724,157,0.0233,0.1788,1738,-0.0211,0.0728,379626,-0.0271,0.2104,143,-0.2011,-0.2667,1.0286,0.0286,0.223,0
202201,43700,"somerset, ky",491,248900,-0.002,0.1577,162,-0.0581,-0.1196,77,0.2833,-0.0833,44,0.1,-0.2143,0,,-1,44,0.1,0.5714,86,-0.1485,0.0118,127,-0.0194,0.2858,1870,3.00E-04,-0.1095,323165,-0.0181,0.1284,246,-0.0989,-0.0855,0.5309,-0.0563,0.0689,0
202201,34380,"mount pleasant, mi",492,179900,-0.014,0.1251,87,-0.1471,-0.1944,84,0.2824,-0.0455,36,0.2857,1.25,0,,,24,0.5,0,68,-0.1905,0.5455,110,0.0015,0.1538,1570,-0.0627,-0.1973,216071,0.0246,-0.0229,155,-0.1667,0.0197,0.7816,-0.0419,0.3742,1
202201,29300,"lagrange, ga",493,199900,-0.1475,-0.0296,100,-0.1071,-0.3506,63,0.1776,0.125,84,0.3125,-0.087,8,-0.5,0,16,0,-0.3333,139,-0.1726,0.1032,113,-0.0411,0.0731,1958,-0.035,-0.0331,342189,-0.0517,0.2348,237,-0.1625,-0.1413,1.39,-0.11,0.5718,0
202201,44340,"statesboro, ga",494,270000,-0.004,0.4595,82,-0.0238,-0.344,46,-0.0316,-0.439,64,0.0667,-0.1579,28,2.5,2.5,8,0,-0.5,97,-0.0102,-0.03,131,0.0367,0.3333,2110,-0.0149,0.0899,342753,0.0133,0.4397,179,-0.0165,-0.2115,1.1829,0.0163,0.3829,1
202201,26460,"hudson, ny",495,495000,0,-0.1161,263,-0.1433,-0.4521,106,0.1042,-0.1092,56,0.1667,-0.1765,0,,,36,0.2857,-0.4375,167,-0.148,-0.3156,274,0.0426,0.1536,2231,0.0524,-0.1076,918139,0.069,-0.1295,425,-0.1517,-0.413,0.635,-0.0035,0.1266,1
202201,31930,"marietta, oh",496,215000,0.1322,-0.0652,60,-0.2308,-0.2308,74,0.1935,-0.1591,24,-0.1429,-0.1429,0,,,12,-0.4,0,51,-0.0377,0,108,-0.0389,0.0591,1924,0.0164,-0.1572,298970,0.0719,0.0578,112,-0.145,-0.1181,0.85,0.1705,0.1962,0
202201,21420,"enid, ok",497,139900,-0.0608,-0.1766,124,-0.1389,-0.1206,69,0.1597,-0.0417,52,-0.1875,-0.48,0,,-1,36,-0.1818,0.125,98,-0.0297,0.0316,91,-0.0166,-0.0056,1662,-0.0209,-0.0967,229790,0.0031,0.1437,224,-0.1004,-0.0705,0.7903,0.0889,0.1166,1
202201,40860,"rutland, vt",498,375000,-0.0831,0.5,111,-0.1048,-0.445,71,0.0441,-0.3604,44,-0.0833,-0.1538,0,,-1,16,0.3333,-0.4286,83,-0.0119,-0.3083,194,-0.0261,0.4484,2194,0,0.0083,628166,-0.0197,0.3909,193,-0.081,-0.3854,0.7477,0.0703,0.1477,1
202201,26740,"hutchinson, ks",499,95000,0.0561,-0.049,54,-0.0847,-0.25,39,-0.093,-0.4,72,0.6364,0.8,0,,,20,1.5,0.25,63,-0.1711,-0.0156,68,-0.0912,-0.0899,1489,0.0845,0.0034,155589,0.1371,-0.1064,114,-0.1556,-0.1618,1.1667,-0.1215,0.2778,1
202201,16660,"charleston-mattoon, il",500,83000,-0.0224,0.0184,75,-0.1071,-0.4048,66,-0.0571,-0.3714,40,0.6667,0.6667,0,,,16,0,0,22,0.1579,0.1579,63,-0.0305,0.0735,1360,-0.0443,-0.047,136250,-0.0388,0.3255,98,-0.0667,-0.3194,0.2933,0.0671,0.1425,0
202201,23860,"georgetown, sc",501,323170,0.0126,0.0425,182,-0.1802,-0.5748,85,0.4167,-0.3511,88,0.1579,-0.2143,40,1,-0.4444,40,0.6667,-0.4118,259,-0.0372,0.0528,193,0.0125,0.0096,1900,0.0193,0.027,680874,0.0859,0.3253,455,-0.0714,-0.3249,1.4231,0.2114,0.8483,0
202201,29380,"lake city, fl",502,274990,-0.0073,0.0784,99,-0.1681,0.0102,72,0.2414,0.0909,60,0.1538,0.25,0,-1,-1,20,-0.375,0.6667,117,0,0.1359,151,0.0292,0.12,1878,-0.0479,0.0059,466750,0.0651,0.4852,216,-0.0886,0.0693,1.1818,0.1986,0.1308,0
202201,22800,"fort madison-keokuk, ia-il-mo",503,85000,-0.0087,-0.1905,118,-0.1128,-0.2081,79,0.1704,-0.1505,24,-0.25,-0.25,0,,,20,0,0,38,-0.0732,0.3103,68,-0.0659,-0.0568,1338,-0.0111,-0.0996,106083,-0.0849,-0.258,157,-0.108,-0.118,0.322,0.0138,0.1274,1
202201,10460,"alamogordo, nm",504,264900,0.0154,0.3278,115,-0.08,-0.2813,89,0.2899,0.1867,52,-0.0714,-0.4348,4,,,16,0,-0.3333,117,-0.1333,-0.0787,137,0.0134,0.1936,1800,-0.0088,0.0147,359528,-0.0855,0.3817,226,-0.1341,-0.2234,1.0174,-0.0626,0.2236,1
202201,32220,"marshall, tx",505,150000,-0.1573,-0.1667,73,-0.1098,-0.3364,67,0.3137,0.0152,32,-0.2727,-0.1111,0,,-1,16,0,0,79,-0.1124,0.9268,100,-0.0884,0.1669,1712,-0.0796,-0.2,246006,-0.1866,-0.0021,152,-0.1214,0.0201,1.0822,-0.0032,0.7095,1
202201,29060,"laconia, nh",506,437900,0.0126,0.2547,76,-0.24,-0.1556,72,0.1339,0.125,52,0.625,0,4,,-0.5,8,1,0,72,-0.3208,-0.2653,266,0.0414,0.2705,1792,-0.0314,0.1606,885588,0.0458,0.7591,148,-0.2816,-0.2128,0.9474,-0.1126,-0.1415,0
202201,18900,"crossville, tn",507,369500,0.0193,0.2852,153,-0.1685,0.3909,63,0.3263,-0.1127,84,-0.087,0.2353,0,-1,,48,0.7143,2,163,-0.0686,0.0516,182,0.0235,0.294,2000,0.0091,0.1074,458279,0.0146,0.4074,313,-0.1281,0.1767,1.0654,0.1143,-0.3437,1
202201,12740,"barre, vt",508,269900,-0.0594,-0.0882,61,-0.1159,-0.5271,116,0.0943,0.0265,28,0.1667,-0.3,0,,,12,2,0,49,-0.1695,-0.1404,185,0.0379,0.1376,1620,-0.0457,-0.0795,449421,-0.007,-0.027,106,-0.1719,-0.4239,0.8033,-0.0518,0.3614,0
202201,42380,"sayre, pa",509,195000,0.0052,0.1143,97,-0.1491,-0.4049,91,0.04,-0.0714,32,0.1429,-0.1111,0,,,12,-0.25,-0.5,73,-0.0988,0.0429,106,0.0736,0.2557,1904,-0.0094,0.0467,264394,-0.026,0.2344,170,-0.1371,-0.2576,0.7526,0.0421,0.3231,0
202201,41460,"salina, ks",510,109000,-0.1451,-0.1273,47,-0.2656,-0.2985,64,0.5059,0.0847,40,-0.2308,-0.3333,0,,,8,-0.6,-0.3333,68,-0.1707,-0.1605,95,-0.0963,-0.0315,1144,-0.0638,-0.2312,239845,0.0319,0.2218,119,-0.2013,-0.2067,1.4468,0.1656,0.2379,1
202201,28180,"kapaa, hi",511,1295000,-0.111,0.5621,157,-0.0765,-0.6045,67,0.1261,-0.4463,80,0,-0.1667,8,1,,20,0.6667,-0.5833,151,-0.1065,-0.142,845,0.0503,0.2691,1559,-0.1207,0.1775,2688063,-0.0231,0.6032,308,-0.0914,-0.4606,0.9618,-0.0323,0.5185,1
202201,22260,"fergus falls, mn",512,260900,0.0292,0.0649,94,-0.1754,-0.2824,67,0.5227,-0.4417,20,-0.4444,-0.375,0,,,4,-0.5,-0.5,53,-0.2319,0.7097,146,0.0816,0.0161,2012,-0.0154,0.2481,380013,0.0367,0.1504,147,-0.1878,-0.1037,0.5638,-0.0414,0.3272,0
202201,26020,"hobbs, nm",513,196000,0.0329,0.0566,122,-0.1029,-0.1286,77,0.1241,0.1493,32,-0.1111,-0.4667,4,,,16,0.3333,-0.4286,,,,120,0.0457,0.0946,1818,0.0497,-0.0066,242357,0.0529,0.0476,122,-0.39,-0.4649,,,,0
202201,34860,"nacogdoches, tx",514,293500,-0.0272,-0.0151,78,0.0541,-0.1959,80,0.4679,-0.0805,48,2,0.7143,0,,,16,3,1,59,-0.1571,-0.1194,152,-0.0176,0.2945,2153,-0.074,-0.1336,379736,-0.0221,-0.0325,140,-0.0345,-0.1566,0.7564,-0.1895,0.0657,1
202201,47460,"walla walla, wa",515,509000,0.0309,0.1976,46,-0.08,-0.08,70,0.4433,0.9444,36,0,-0.25,0,,,4,-0.5,-0.5,53,-0.1311,-0.1846,250,0.05,0.2382,2268,-0.0254,0.0125,785760,0.0649,0.4581,100,-0.0991,-0.1667,1.1522,-0.0678,-0.1478,1
202201,43220,"shelton, wa",516,499000,0.0289,0.5237,39,-0.2353,0.0263,55,0.25,-0.0517,36,-0.1818,-0.25,4,,,8,0,0,62,-0.1842,-0.3922,276,0.0248,0.3044,1794,-0.0086,0.1493,694223,0.0626,0.7496,102,-0.184,-0.2966,1.5897,0.0995,-1.0945,1
202201,36580,"oneonta, ny",517,248000,-0.0273,0.3785,179,-0.1596,-0.3168,105,0.0244,-0.087,64,0.4545,0.3333,0,,,12,0,-0.4,161,-0.0747,-0.1615,123,-0.0641,0.1415,1900,-0.0594,0.044,339211,-0.0973,0.106,344,-0.1134,-0.2423,0.8994,0.0825,0.1666,1
202201,22100,"farmington, mo",518,199000,0.0218,0.2445,84,-0.1923,-0.1683,78,0.2581,0.1818,56,0.1667,0,0,,-1,20,-0.2857,-0.375,88,-0.0928,-0.0638,125,0.0167,0.2474,1671,0.0623,0.0936,279122,0.021,0.2252,170,-0.1584,-0.1099,1.0476,0.1149,0.1169,0
202201,21020,"elizabeth city, nc",519,315000,-0.0016,0.1455,146,0.0504,0.0282,66,-0.0504,0.082,88,0.375,0.2941,8,1,,12,-0.5,-0.4,92,-0.1321,-0.1154,153,-0.0099,0.1344,2096,0.0282,0.0285,327839,-0.0052,0.0985,236,-0.0367,-0.0445,0.6301,-0.1325,-0.1023,0
202201,23380,"fremont, oh",520,178900,0.1098,0.3252,50,-0.1525,-0.3506,67,0.1652,0.0806,36,0.2857,-0.3571,8,1,,20,0,-0.2857,55,-0.3373,-0.4086,107,0.0733,0.2677,1696,0.018,-0.0122,186042,0.0434,0.1496,105,-0.2657,-0.3787,1.1,-0.3068,-0.1078,1
202201,21900,"fairmont, wv",521,157300,0.0318,0.1244,69,-0.25,-0.3235,85,0.3386,-0.0957,40,0.25,0.6667,0,,,16,-0.2,-0.4286,81,-0.0241,0.0253,95,-0.0098,0.0969,1704,0.0101,0.0024,171990,0.0022,0.0279,147,-0.1552,-0.2054,1.1739,0.2717,0.3994,0
202201,32020,"marion, oh",522,119900,0.0076,-0.1538,54,-0.2059,0.0385,59,0.2292,0.3721,32,-0.2727,-0.1111,0,,,24,1,0.5,45,-0.3382,-0.2742,84,-0.1329,-0.1326,1386,0.039,-0.076,137471,-0.0131,-0.2406,100,-0.2647,-0.1228,0.8333,-0.1667,-0.359,1
202201,28820,"kinston, nc",523,189000,-0.0128,0.1257,38,-0.0952,-0.3333,54,-0.0609,-0.0357,36,0.8,0.125,0,,-1,0,-1,-1,48,-0.1429,-0.25,88,-0.0407,0.0307,2033,-0.015,0.0689,229421,-0.0082,0.2264,88,-0.102,-0.2727,1.2632,-0.0702,0.1404,0
202201,11900,"athens, oh",524,180000,0.0286,0.0714,63,-0.1,-0.3298,71,-0.118,-0.1235,20,0.25,0,0,,,4,0,-0.6667,21,-0.25,1.3333,122,0.0127,0.1503,1602,-0.0464,0.0883,187005,-0.0344,0.0077,83,-0.1531,-0.1863,0.3333,-0.0667,0.2376,0
202201,18060,"columbus, ms",525,199900,-0.0458,0,89,-0.1275,-0.3206,77,0.1846,-0.1149,28,-0.3,-0.2222,0,,,16,0,0,15,0.25,0,95,-0.0189,0.0669,2240,0.0808,0.0621,321845,0.1448,0.3268,104,-0.0877,-0.302,0.1685,0.0509,0.054,0
202201,10620,"albemarle, nc",526,348090,0.3929,0.3037,84,-0.2294,-0.3,42,0.05,-0.475,56,-0.2222,0,0,,-1,16,0,-0.5,66,-0.1538,-0.2048,185,0.0219,0.2876,1776,0.0826,-0.0327,382463,0.1753,0.007,151,-0.1925,-0.2525,0.7857,0.0701,0.094,1
202201,39780,"red bluff, ca",527,420000,0.0182,0.1056,168,-0.087,-0.0968,62,0.1273,-0.1507,80,0.1111,-0.2,4,-0.5,0,40,0,0,98,-0.1624,-0.1009,251,2.00E-04,0.2047,1632,-0.0049,-0.0933,573056,-0.0095,0.1838,269,-0.1238,-0.0881,0.5833,-0.0525,-0.0027,0
