,NEIGHBORHOOD,ENCODED_VALUE
6032,HARLEM-CENTRAL,106
6033,HARLEM-CENTRAL,106
6034,HARLEM-CENTRAL,106
6035,HARLEM-CENTRAL,106
6036,HARLEM-CENTRAL,106
6038,HARLEM-CENTRAL,106
6039,HARLEM-CENTRAL,106
6041,HARLEM-CENTRAL,106
6043,HARLEM-CENTRAL,106
6048,HARLEM-CENTRAL,106
6049,HARLEM-CENTRAL,106
6050,HARLEM-CENTRAL,106
6051,HARLEM-CENTRAL,106
6052,HARLEM-CENTRAL,106
6053,HARLEM-CENTRAL,106
6054,HARLEM-CENTRAL,106
6055,HARLEM-CENTRAL,106
6056,HARLEM-CENTRAL,106
6060,HARLEM-CENTRAL,106
6061,HARLEM-CENTRAL,106
6062,HARLEM-CENTRAL,106
6063,HARLEM-CENTRAL,106
6070,HARLEM-CENTRAL,106
6071,HARLEM-CENTRAL,106
6072,HARLEM-CENTRAL,106
6078,HARLEM-CENTRAL,106
6081,HARLEM-CENTRAL,106
6082,HARLEM-CENTRAL,106
6084,HARLEM-CENTRAL,106
6086,HARLEM-CENTRAL,106
6087,HARLEM-CENTRAL,106
6091,HARLEM-CENTRAL,106
6096,HARLEM-CENTRAL,106
6203,HARLEM-CENTRAL,106
6762,HARLEM-CENTRAL,106
6765,HARLEM-CENTRAL,106
6767,HARLEM-CENTRAL,106
6768,HARLEM-CENTRAL,106
6832,HARLEM-CENTRAL,106
6833,HARLEM-CENTRAL,106
6835,HARLEM-CENTRAL,106
6856,HARLEM-CENTRAL,106
6860,HARLEM-CENTRAL,106
6861,HARLEM-CENTRAL,106
6862,HARLEM-CENTRAL,106
6879,HARLEM-EAST,107
6880,HARLEM-EAST,107
6882,HARLEM-EAST,107
6884,HARLEM-EAST,107
6885,HARLEM-EAST,107
6887,HARLEM-EAST,107
6888,HARLEM-EAST,107
6889,HARLEM-EAST,107
6890,HARLEM-EAST,107
6893,HARLEM-EAST,107
6894,HARLEM-EAST,107
6896,HARLEM-EAST,107
6898,HARLEM-EAST,107
6899,HARLEM-EAST,107
6900,HARLEM-EAST,107
6907,HARLEM-EAST,107
6912,HARLEM-EAST,107
6913,HARLEM-EAST,107
6914,HARLEM-EAST,107
6916,HARLEM-EAST,107
6940,HARLEM-EAST,107
6941,HARLEM-EAST,107
7015,HARLEM-EAST,107
7016,HARLEM-EAST,107
7017,HARLEM-EAST,107
7018,HARLEM-EAST,107
7020,HARLEM-EAST,107
7021,HARLEM-EAST,107
